000.0-06.8 |ESO-B.C+IDS 1985-08-02|b |         |         |         |     4.  |   570.  |   432.  |    22.  |    38.
000.1+02.6 |ESO-B.C+CCD 1988-08-14|a |         |         |    83.  |         |   100.  |         |         |
000.1+04.3 |ESO-B.C+IDS 1986-07-13|b |    16.  |         |  2283.  |    49.  |  1557.  |   193.  |    18.  |    30.
000.1+17.2 |OHP-CAR+CCD 1987-05-24|b |         |         |   327.  |    31.  |  1042.  |   336.  |     9.  |    27.
000.1-01.1 |ESO-B.C+IDS 1986-07-09|b |   100. :|         |  1333.  |         |  4313.  |  6750.  |   233.  |   300.
000.1-02.3 |ESO-B.C+CCD 1988-08-09|b |   112.  |         |  1875.  |         |   875.  |    37.  |    13.  |     7.
000.1-05.6 |ESO-B.C+IDS 1985-07-27|b |         |         |   440. :|         |   491.  |   640.  |    72. :|    58. :
000.2-01.9 |ESO-B.C+IDS 1985-07-31|b |         |         |   267.  |    44.  |  1295.  |   598.  |    49.  |    70.
000.3+12.2 |ESO-B.C+CCD 1988-08-09|b |         |     6.  |   999.  |    20.  |   382.  |    15.  |     1.7 |     3.
000.3-02.8 |ESO-B.C+IDS 1985-08-01|b |         |         |   929.  |    98.  |  1327.  |  2344.  |   217.  |   190.
000.3-04.6 |ESO-B.C+IDS 1986-07-10|b |    17.  |         |   715.  |    38.  |   740.  |  1231.  |    68.  |    90.
000.4-01.9 |ESO-B.C+CCD 1988-08-09|b |         |         |   620.  |    48.  |  1133.  |   417.  |    19.  |    35.
000.4-02.9 |ESO-B.C+IDS 1985-08-01|b |         |    18.  |   573.  |    49.  |   803.  |    79.  |         |    16.
000.5-01.6 |ESO-B.C+CCD 1988-08-14|b |         |         |   286.  |         |   620.  |   110. :|         |
000.5-03.1 |ESO-B.C+CCD 1989-05-29|b |    42.  |         |   612.  |    36.  |   807.  |    51.  |         |
000.6-01.3 |ESO-B.C+IDS 1986-07-12|b |         |         |         |    74. :|  4774.  |  6096.  |   378.  |   543.
000.6-02.3 |ESO-B.C+IDS 1985-08-01|b |         |         |         |         |  1140.  |   218.  |    19.  |    26.
000.7+03.2 |ESO-B.C+IDS 1985-07-18|b |    26.  |         |   979.  |    50.  |  1434.  |  1002.  |    61.  |    81.
000.7+04.7 |ESO-B.C+IDS 1984-04-26|b |         |         |   466.  |   134.  |  3427.  |  2950.  |         |    51. :
000.7-02.7 |ESO-B.C+CCD 1987-07-22|b |    25.  |    13.  |  1411.  |    23.  |   616.  |    29.  |     3.  |     4.
000.7-03.7 |ESO-B.C+IDS 1986-07-13|b |   118.  |    15. :|   981.  |         |   625.  |         |         |
000.7-07.4 |ESO-B.C+IDS 1986-07-09|b |    13.  |         |   701.  |    22.  |   454.  |   747.  |    63.  |    67.
000.8-01.5 |ESO-B.C+IDS 1985-07-31|b |         |         |         |         |  2080.  |  1379.  |    83.  |   168.
000.8-07.6 |ESO-B.C+IDS 1986-07-12|b |         |         |   981.  |    19.  |   382.  |   300.  |    18.  |    25.
000.9-02.0 |ESO-B.C+IDS 1985-07-19|b |         |         |  1102.  |    65.  |  1492.  |         |         |
000.9-04.8 |ESO-B.C+IDS 1986-07-13|b |    87.  |    13.  |  1327.  |         |   615.  |    28.  |     7.  |     6.
001.0+01.9 |ESO-B.C+IDS 1985-07-19|a |         |         |    43. :|         |   100.  |   305.  |    24. :|    52. :
