000.3+12.2 |IC  4634    |16 58 33.9 -21 45 11|13 Aug 1988 11 50|70|LWP 13827 
000.3+12.2 |IC  4634    |16 58 33.9 -21 45 11|13 Aug 1988 12 44|70|SWP 34075 
000.3+12.2 |IC  4634    |16 58 33.9 -21 45 11|13 Aug 1988 13 21|70|LWP 13828 
000.3+12.2 |IC  4634    |16 58 33.9 -21 45 11|13 Aug 1988 14 04|70|SWP 34076 
000.3+12.2 |IC 4634     |16 58 34.0 -21 45 12|01 Aug 1983 18 22|70|LWR 16497 
000.3+12.2 |IC 4634     |16 58 34.0 -21 45 12|01 Aug 1983 18 44|70|SWP 20578 
001.5-06.7 |HD    167362|18 12 58.0 -30 53 12|18 Jun 1979 14 14|70|FES 01092 
001.5-06.7 |HD    167362|18 12 58.7 -30 53 12|18 Jun 1979 13 06|70|SWP 05565 
001.5-06.7 |HD    167362|18 12 58.7 -30 53 12|18 Jun 1979 14 13|70|LWR 04804 
001.5-06.7 |SWST   1    |18 12 58.0 -30 53 00|07 Sep 1980 19 25|70|SWP 10034 
001.5-06.7 |SWST   1    |18 12 58.0 -30 53 00|07 Sep 1980 19 41|70|SWP 10034 
001.5-06.7 |SWST   1    |18 12 58.0 -30 53 00|07 Sep 1980 19 55|70|LWR 08734 
001.5-06.7 |SWST   1    |18 12 58.0 -30 53 00|07 Sep 1980 20 22|70|LWR 08734 
001.5-06.7 |SWST   1    |18 12 58.0 -30 53 00|07 Sep 1980 20 47|70|SWP 10035 
001.5-06.7 |SWST 1      |18 12 58.0 -30 53 00|30 May 1982 02 39|70|SWP 17068 
001.5-06.7 |SWST 1      |18 12 59.0 -30 53 00|07 Mar 1981 04 51|70|LWR 10077 
002.0-13.4 |IC  4776    |18 42 34.0 -33 23 52|14 Aug 1988 12 53|70|SWP 34078 
002.0-13.4 |IC  4776    |18 42 34.0 -33 23 52|14 Aug 1988 13 24|70|LWP 13842 
002.0-13.4 |IC  4776    |18 42 34.0 -33 23 52|14 Aug 1988 14 10|70|SWP 34079 
002.0-13.4 |IC  4776    |18 42 34.0 -33 24 00|11 Mar 1982 04 39|70|SWP 16504 
002.0-13.4 |IC  4776    |18 42 34.0 -33 24 00|11 Mar 1982 05 14|70|LWR 12764 
002.0-13.4 |IC  4776    |18 42 34.0 -33 24 00|11 Mar 1982 06 06|70|SWP 16505 
002.0-13.4 |IC  4776    |18 42 34.0 -33 24 00|11 Mar 1982 07 10|70|LWR 12765 
002.7-52.4 |IC  5148    |21 56 33.0 -39 37 28|15 May 1982 19 33|70|SWP 16968 
002.7-52.4 |IC  5148    |21 56 33.1 -39 37 29|08 Jun 1981 17 04|70|SWP 14213 
002.7-52.4 |IC  5148    |21 56 33.1 -39 37 29|21 Aug 1982 13 33|70|SWP 17730 
003.5-04.6 |NGC     6565|18 08 43.2 -28 11 22|23 Oct 1984 21 58|70|SWP 24266 
003.5-04.6 |NGC     6565|18 08 43.2 -28 11 22|23 Oct 1984 23 06|70|LWP 04611 
003.5-04.6 |NGC     6565|18 08 43.3 -28 11 23|19 Feb 1980 04 29|70|SWP 07984 
003.5-04.6 |NGC     6565|18 08 43.3 -28 11 23|19 Feb 1980 05 10|70|LWR 06955 
006.0-41.9 |PN 06-41    |21 02 44.4 -37 20 18|23 Nov 1988 03 38|70|SWP 34795 
008.0+03.9 |NGC     6445|17 46 17.2 -19 59 41|12 May 1979 13 00|70|LWR 04507 
008.0+03.9 |NGC     6445|17 46 17.2 -19 59 41|12 May 1979 14 39|70|SWP 05212 
008.0+03.9 |NGC 6445    |17 46 17.0 -19 59 00|24 May 1982 04 46|70|SWP 17030 
008.0+03.9 |NGC 6445    |17 46 17.0 -19 59 00|24 May 1982 05 15|70|LWR 13308 
008.1-04.7 |8-41        |18 18 57.4 -24 12 08|29 Apr 1988 22 26|70|SWP 33396 
008.3-07.3 |NGC     6644|18 29 30.0 -25 10 00|06 Jun 1978 19 31|70|SWP 01734 
008.3-07.3 |NGC     6644|18 29 30.0 -25 10 00|06 Jun 1978 20 19|70|LWR 01630 
008.3-07.3 |NGC     6644|18 29 30.0 -25 10 00|06 Jun 1978 21 07|70|SWP 01735 
008.3-07.3 |NGC     6644|18 29 30.0 -25 10 00|18 Feb 1980 21 51|70|SWP 07983 
008.3-07.3 |NGC     6644|18 29 30.0 -25 10 00|19 Feb 1980 01 01|70|LWR 06954 
008.3-07.3 |NGC     6644|18 29 30.0 -25 10 08|04 Sep 1987 14 12|70|SWP 31711 
008.3-07.3 |NGC     6644|18 29 30.0 -25 10 08|12 Sep 1987 11 18|70|LWP 11596 
008.3-07.3 |NGC     6644|18 29 30.0 -25 10 08|12 Sep 1987 11 49|70|SWP 31830 
008.3-07.3 |NGC     6644|18 29 30.0 -25 10 08|12 Sep 1987 12 23|70|LWP 11597 
009.4-05.0 |NGC 6629    |18 22 41.2 -23 13 45|18 May 1988 05 47|70|LWP 13246 
009.4-05.0 |NGC 6629    |18 22 41.2 -23 13 45|28 Aug 1987 21 48|70|LWP 11515 
009.4-05.0 |NGC6629     |18 22 41.2 -23 13 45|18 May 1988 06 17|70|SWP 33545 
009.6+10.5 |ABELL 41    |17 26 10.3 -15 10 45|07 Oct 1983 02 43|70|LWR 16938 
009.6+10.5 |ABELL 41    |17 26 10.3 -15 10 45|11 Aug 1981 14 19|70|SWP 14711 
009.6+10.5 |ABELL 41    |17 26 10.3 -15 10 45|11 Aug 1981 15 23|70|LWR 11284 
009.6+10.5 |ABELL 41    |17 26 10.3 -15 10 45|11 Mar 1984 12 05|70|SWP 22456 
009.6+14.8 |NGC     6309|17 11 14.8 -12 51 10|11 Mar 1985 11 34|70|SWP 25419 
009.6+14.8 |NGC     6309|17 11 14.8 -12 51 10|11 Mar 1985 14 13|70|LWP 05483 
009.6+14.8 |NGC     6309|17 11 14.8 -12 51 10|11 Mar 1985 15 32|70|SWP 25420 
009.6+14.8 |NGC     6309|17 11 14.8 -12 51 10|11 Mar 1985 17 40|70|LWP 05484 
009.6+14.8 |NGC     6309|17 11 14.9 -12 51 11|09 Jul 1980 05 03|70|SWP 09472 
009.6+14.8 |NGC     6309|17 11 14.9 -12 51 11|09 Jul 1980 05 47|70|LWR 08202 
009.6+14.8 |NGC 6309    |17 11 15.9 -12 51 15|26 Apr 1987 02 10|70|SWP 30868 
009.6+14.8 |NGC 6309    |17 11 15.9 -12 51 15|26 Apr 1987 05 48|70|LWP 10645 
009.6+14.8 |NGC 6309    |17 11 15.9 -12 51 15|26 Apr 1987 06 31|70|SWP 30869 
010.1+00.7 |NGC     6537|18 02 15.4 -19 50 29|24 Oct 1984 22 15|70|SWP 24281 
010.8+18.0 |M2-    9    |17 02 52.4 -10 04 30|11 Aug 1982 15 12|70|LWR 13921 
010.8+18.0 |M2-    9    |17 02 52.5 -10 04 31|11 Aug 1982 14 26|70|SWP 17659 
010.8+18.0 |M2-    9    |17 02 52.5 -10 04 31|11 Aug 1983 10 44|70|SWP 20662 
010.8+18.0 |M2-    9    |17 02 52.5 -10 04 31|11 Aug 1983 13 23|70|LWR 16571 
010.8+18.0 |M2-    9    |17 02 52.5 -10 04 31|18 Feb 1983 19 32|70|LWR 15324 
010.8+18.0 |M2-9        |17 02 52.6 -10 04 16|11 Feb 1985 06 01|71|SWP 25211 
010.8+18.0 |M2-9        |17 02 52.6 -10 04 16|11 Feb 1985 09 45|71|LWP 05337 
011.7-00.6 |NGC 6567    |18 10 48.0 -19 05 00|23 May 1982 04 40|70|SWP 17019 
011.7-00.6 |NGC 6567    |18 10 48.0 -19 05 00|24 May 1982 03 18|70|LWR 13307 
011.9+04.2 |PK11+4 1    |17 53 26.3 -16 28 40|15 Aug 1987 18 14|70|SWP 31572 
013.3+32.7 |SN-1        |16 18 30.4 -00 09 06|02 Sep 1984 19 14|70|SWP 23841 
013.3+32.7 |SN-1        |16 18 30.4 -00 09 06|02 Sep 1984 19 41|70|LWP 04124 
013.3+32.7 |SN-1        |16 18 30.4 -00 09 06|02 Sep 1984 20 36|70|SWP 23842 
013.3+32.7 |SN-1        |16 18 30.4 -00 09 06|05 Sep 1984 20 18|70|SWP 23873 
017.3-21.9 |ABELL 65    |19 43 34.3 -23 15 36|23 Nov 1982 23 59|70|SWP 18641 
017.6-10.2 |A 51        |18 58 06.0 -18 17 00|09 May 1982 00 51|70|SWP 16935 
017.6-10.2 |ABELL 51    |18 58 06.0 -18 16 33|24 Mar 1981 00 37|70|SWP 13552 
017.6-10.2 |ABELL 51    |18 58 06.0 -18 16 33|24 Mar 1981 00 43|70|FES 01316 
021.8-00.4 |M3-   28    |18 29 55.6 -10 08 05|31 May 1988 20 30|70|SWP 33679 
023.9-02.3 |23-02-1     |18 40 35.9 -09 07 52|31 Aug 1987 08 28|70|SWP 31677 
023.9-02.3 |23-02-1     |18 40 35.9 -09 07 52|31 Aug 1987 09 32|70|LWP 11536 
025.3+40.8 |HD    145649|16 09 23.0 +12 11 58|28 Jan 1979 16 33|70|SWP 04070 
025.3+40.8 |IC  4593    |16 09 23.2 +12 11 57|28 Apr 1988 22 42|71|SWP 33383 
025.3+40.8 |IC  4593    |16 09 23.2 +12 11 57|28 Apr 1988 23 31|71|LWP 13132 
025.3+40.8 |IC  4593    |16 09 23.2 +12 12 00|28 Apr 1988 21 20|71|SwP 33382 
025.3+40.8 |IC  4593    |16 09 23.2 +12 12 00|28 Apr 1988 21 53|71|LWP 13131 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 05 19|70|SWP 06645 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 05 27|70|SWP 06645 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 07 18|70|LWR 05705 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 07 28|70|LWR 05705 
025.3+40.8 |IC  4593    |16 09 23.3 +12 12 08|27 Sep 1979 07 51|70|SWP 06646 
