000.0-06.8 |Likely a galactic bulge PN (AKSR91).
000.1+02.6 |Likely a galactic bulge PN (AKSR91).
000.1+04.3 |Likely a galactic bulge PN (AKSR91).
000.1-01.1 |ESO-NTT images by Schwartz H.E. and Melnick J.
000.1-01.1 |Likely a galactic bulge PN (AKSR91).
000.1-01.1 |Monochromatic images (88..3092)
000.1-02.3 |Likely a galactic bulge PN (AKSR91).
000.1-02.3 |Monochromatic images (88..3092)
000.1-05.6 |ESO-NTT images by Schwartz H.E. and Melnick J.
000.1-05.6 |Likely a galactic bulge PN (AKSR91).
000.1-05.6 |Monochromatic images (88..3092)
000.2-01.9 |Likely a galactic bulge PN (AKSR91).
000.2-01.9 |Monochromatic images (88..3092)
000.2-04.6 |Likely a galactic bulge PN (AKSR91).
000.3+12.2 |ESO-2.2m monochromatic images by Baessgen M. and Bremer M.
000.3-04.6 |Likely a galactic bulge PN (AKSR91).
000.4-01.9 |ESO-NTT images by Schwartz H.E. and Melnick J.
000.4-01.9 |Likely a galactic bulge PN (AKSR91).
000.4-01.9 |Monochromatic images (88..3092)
000.4-02.9 |Likely a galactic bulge PN (AKSR91).
000.4-02.9 |Monochromatic images (88..3092)
000.5-01.6 |Likely a galactic bulge PN (AKSR91).
000.6-01.3 |Likely a galactic bulge PN (AKSR91).
000.6-02.3 |Possibly a HII region.
000.7+03.2 |Likely a galactic bulge PN (AKSR91).
000.7+04.7 |ESO-NTT images by Schwartz H.E. and Melnick J.
000.7+04.7 |Likely a galactic bulge PN (AKSR91).
000.7+04.7 |Status of the object is not clear.
000.7-02.7 |Likely a galactic bulge PN (AKSR91).
000.7-02.7 |Monochromatic images (88..3092)
000.7-03.7 |Likely a galactic bulge PN (AKSR91).
000.7-03.7 |Monochromatic images (88..3092)
000.7-07.4 |Likely a galactic bulge PN (AKSR91).
000.8-01.5 |Possibly a H II region
000.8-07.6 |Likely a galactic bulge PN (AKSR91).
000.9-02.0 |Likely a galactic bulge PN (AKSR91).
000.9-04.8 |Likely a galactic bulge PN (AKSR91).
