A  9           | 172+ 0 1 | 05 29.0 +36 02 |172.12 +00.85| U   |A55 8,ARO 122,VV' 31
A 64           |  44- 9 1 | 19 45.6 +05 34 |044.19 -09.39|  ?  |A55 52,ARO 163,VV' 512
Al 2-N         |          | 17 49.6 -27 41 |001.53 -00.10| U   |
Anon. 16h38m   | 352+11 1 | 16 41.6 -27 59 |352.56 +11.99|     |ESO 452-12
Anon. 19h19m   |  32- 8 1 | 19 22.0 -04 12 |032.66 -08.71|     |ARO 318
Bl 3-14        |   0- 1 4 | 17 52.4 -29 46 |000.05 -01.70| * ? |ESO 455-55
CoMaC 1        |          | 05 03.5 +41 42 |164.63 +00.10|     |VES 866
CoMaC 3        |          | 20 03.2 +31 55 |069.07 +00.48|     |VES 905
CRL 2688       |* 80- 6 1 | 21 02.3 +36 42 |080.17 -06.50| **  |
CW Leo         |*221+45 1 | 09 48.0 +13 17 |221.45 +45.06| **  |IRC +10216
EGB 2          |*148-49 1 | 01 58.0 +10 58 |148.10 -48.63| ?   |GRO 155+10
EGB 3          |*137+16 1 | 04 25.2 +72 49 |137.24 +16.20|     |ELO 419+72
EGB 7          |* 95+38 1 | 16 47.6 +64 13 |094.86 +37.57|     |EL 1647+64
ESO 011-01     |          | 20 35.5 -83 03 |310.15 -30.00|     |
ESO 209-05     |          | 07 51.3 -52 19 |265.68 -12.73|     |
ESO 209-07     |          | 07 52.5 -52 18 |265.74 -12.56|     |
ESO 209-10     |          | 08 00.1 -50 40 |264.88 -10.72|     |
ESO 209-13     |          | 08 03.0 -49 37 |264.19 -09.80|     |
ESO 252-09     |          | 05 05.9 -42 48 |247.69 -36.86|     |
ESO 257-18     |          | 07 29.3 -45 26 |257.71 -12.83|     |
ESO 309-20     |          | 07 08.0 -40 21 |251.27 -14.26|     |
ESO 310-11     |          | 07 19.3 -40 00 |251.87 -12.16|     |
ESO 312-06     |          | 08 28.9 -40 21 |258.95 -00.88|     |
ESO 313-16     |          | 08 52.5 -38 54 |260.59 +03.59|     |
ESO 328-01     |          | 15 00.6 -40 49 |327.77 +15.75|     |
ESO 328-27     |          | 15 09.7 -40 56 |329.24 +14.78|     |
ESO 340-34     |          | 20 28.4 -38 31 |003.18 -34.73|     |
ESO 341-10     |          | 20 44.5 -40 57 |000.65 -38.11|     |
ESO 367-01     |          | 07 05.7 -33 19 |244.50 -11.78|     |
ESO 371-02     |          | 08 39.5 -35 00 |255.92 +03.99|     |
ESO 371-09     |          | 08 43.3 -37 39 |258.48 +02.97|     |
ESO 380-12     |          | 12 19.1 -37 08 |295.82 +25.29|     |
ESO 382-29     |          | 13 17.0 -35 24 |308.78 +27.18|     |
ESO 389-13     |          | 16 06.4 -34 31 |342.41 +13.01|     |
ESO 449-02     |          | 15 14.1 -32 42 |334.69 +21.24|     |
ESO 450-26     |          | 15 57.1 -32 28 |342.36 +15.84|     |
ESO 513-05     |          | 14 55.4 -24 05 |336.06 +30.71|     |
ESO 515-11     |          | 15 50.5 -23 34 |347.61 +23.38|     |
ESO 515-16     |          | 15 54.0 -24 55 |347.25 +21.86|     |
ESO 515-17     |          | 15 57.9 -25 55 |347.19 +20.53|     |
ESO 525-06     |          | 19 27.0 -26 42 |012.03 -19.14|     |
ESO 580-02     |          | 14 34.8 -22 26 |332.20 +34.49|     |
GM 1-11        |          | 06 23.7 +33 49 |179.66 +09.47|     |PP 94
HaTr  7        |*332-16 2 | 17 54.2 -60 50 |332.51 -16.91| U   |
HaTr 12        |* 38- 0 1 | 19 03.8 +05 10 |038.93 -00.38|     |
HaWe 3         |          | 03 16.6 +46 54 |147.11 -09.05|     |
HDW  4         |*156+12 1 | 05 37.9 +55 32 |156.31 +12.54| ?   |HaWe 6
HDW 10         |* 11-14 1 | 19 05.7 -25 24 |011.38 -14.21| * ? |ESO 524-06,HaWe 12
HDW 13         |* 99- 8 1 | 22 30.6 +47 31 |099.72 -08.90|     |HaWe 15
He 2-106       | 312- 2 1 | 14 14.2 -63 26 |312.03 -02.03|     |ESO 097-14,Wray 16-148
He 2-375       | 337-18 1 | 18 18.2 -57 11 |337.31 -18.27| U   |My 118,Sa 2-323,StWr 2-45,Wray 16-400
He 3-1191      |          | 16 27.3 -48 39 |335.21 +00.21|     |IRAS 16235-4832,Wray 15-1484
He 3-1379      |          | 17 19.8 -39 11 |348.51 -01.12|     |IRAS 17163-3907,Wray 15-1676
HM Sge         |          | 19 42.0 +16 45 |053.57 -03.15| **  |
HuLo 1         |          | 19 05.9 -05 59 |029.23 -05.94|     |
IC 2120        | 169- 0 1 | 05 18.2 +37 34 |169.65 -00.07|     |ARO 77,M 2-3,VV 21,VV' 30
IRAS 17245-3951|          | 17 28.1 -39 54 |348.81 -02.84|     |
IRAS 17391-3026|          | 17 42.3 -30 28 |358.32 -00.20|     |RPZM 49
IRAS 17516-2525|          | 17 54.7 -25 25 |004.05 +00.07|     |
IRAS 18095+2704|          | 18 11.5 +27 05 |053.84 +20.18|     |HKV 1
IRAS 21282+5050|          | 21 29.9 +51 03 |093.97 -00.12| ?   |
JoDi 1         |          | 00 25.4 +64 09 |120.09 +01.42|     |
K 1-6          | 107+21 1 | 20 04.5 +74 27 |107.06 +21.38| H   |
K 1-24         |*322+14 1 | 14 38.3 -44 13 |322.37 +14.59|     |V-V 3-3
K 2-4          | 275+72 1 | 12 18.3 +11 03 |275.49 +72.14| U   |ARO 35
DHW 2-1        |  11+17 1 | 17 06.9 -09 47 |011.40 +17.98| U   |
