RefCode,f_RefCode,Text
1,--,"Abazajian K.,Adelman-McCarthy J.K.,Agueros M.A. et al. 2003,AJ (in press)"
1,=,astro-ph/0305492
1,--,'The first data release of the Sloan Digital Sky Survey
1,--,(qsos-dr1.fit)'.
1,=,2003AJ.............
2,--,"Abazajian K.,Adelman-McCarthy J.K.,Agueros M.A. et al. 2003,AJ (in press)"
2,=,astro-ph/0305492
2,--,'The first data release of the Sloan Digital Sky Survey
2,--,(qsos in gals-dr1.fit)'.
2,=,2003AJ.............
3,--,"Abramian G.V.,Lipovetski V.A.,Stepanian J.A. 1990,Astrophysics 32,14."
3,=,1990Ap.....32...14A
4,--,"Abramian G.V.,Lipovetski V.A.,Mickaelian A.K.,Stepanian J.A. 1990,"
4,--,"Astrophysics 33,418."
4,=,1990Ap.....33..418A
5,--,"Abramian G.V.,Lipovetski V.A.,Mickaelian A.K.,Stepanian J.A. 1991,Astrophysics"
5,--,"33,493."
5,=,1991Ap.....33..493A
6,--,"Acker A.,Stenholm B.,Veron P. 1991,A&AS 87,499."
6,=,1991A&AS...87..499A
7,--,"Adam G. 1978,A&AS 31,151."
7,=,1978A&AS...31..151A
8,--,"Adam G. 1985,A&AS 61,225."
8,=,1985A&AS...61..225A
9,--,"Adams M.T.,Rudnick L. 1977,AJ 82,857."
9,=,1977AJ.....82..857A
10,--,"Adams T.F.,Weedman D.W. 1975,ApJ 199,19."
10,=,1975ApJ...199...19A
11,--,"Adgie R.L. 1974,AJ 79,846."
11,=,1974AJ.....79..846A
12,--,"Adgie R.L.,Palmer H.P.,Penston M.V. 1975,MNRAS 170,31P."
12,=,1975MNRAS.170p..31A
13,--,"Adgie R.L.,Crowther J.H.,Gent H. 1972,MNRAS 159,233."
13,=,1972MNRAS.159..233A
14,--,"Afanasjev V.L.,Karachentsev I.D.,Lipovetski V.A.,Lorenz H.,Stoll D. 1979,"
14,--,"Astron. Nachr. 300,31."
14,=,1979AN....300...31A
15,--,"Afanasjev V.L.,Karachentsev I.D.,Lipovetski V.A.,Lorenz H. 1979,"
15,--,"Astron. Nachr. 300,77."
15,=,1979AN....300...77A
16,--,"Afanasjev V.L.,Lipovetski V.A.,Markarian B.E.,Stepanian J.A. 1979,"
16,--,"Astrophysics 16,119."
16,=,1979Ap.....16..119A
17,--,"Afanasjev V.L.,Lorenz H.,Nazarov E.A. 1989,SvA Letters 15,83."
17,=,1989SvAL...15...83A
18,--,"Afanasjev V.L.,Vlasyuk V.V.,Dodonov S.N.,Lorenz H.,Terebizh V.Y. 1990,"
18,--,"Bull. Special Astrophys. Obs. 32,23."
18,=,1990BSAO...32...23A
19,--,"Afonso J.,Mobascher B.,Chan B.,Cram L. 2001,ApJ 559,L101."
19,=,2001ApJ...559L.101A
20,--,"Aguero E.L.,Suarez F.,Paolantonio S. 1995,PASP 107,959."
20,=,1995PASP..107..959A
21,--,"Aguero E.L.,Paolantonio S.,Suarez F. 1996,PASP 108,1117."
21,=,1996PASP..108.1117A
22,--,"Akiyama M.,Ohta K.,Yamada T. et al. 1998,ApJ 500,173."
22,=,1998ApJ...500..173A
23,--,"Akiyama M.,Ohta K.,Yamada T. et al. 2000,ApJ 532,700."
23,=,2000ApJ...532..700A
24,--,"Akopian S.,Balayan S. 1998,Astrophysics 40,114."
24,=,1998Ap.....40..114A
25,--,"Akujor C.E.,Joshi M.N.,Kazes I. 1989,A&AS 80,215."
25,=,1989A&AS...80..215A
26,--,"Alcaino G. 1976,A&AS 26,261."
26,=,1976A&AS...26..261A
27,--,"Aldcroft T.L.,Bechtold J.,Elvis M. 1994,ApJS 93,1."
27,=,1994ApJS...93....1A
28,--,"Alexander D.M.,La Franca F.,Fiore F. et al. 2001,ApJ 554,18."
28,=,2001ApJ...554...18A
29,--,"Allen D.A.,Norris R.P.,Meadows W.S.,Roche P.F. 1991,MNRAS 248,528."
29,=,1991MNRAS.248..528A
30,--,"Allen S.W.,Edge A.C.,Fabian A.C. et al. 1992,MNRAS 259,67."
30,=,1992MNRAS.259...67A
31,--,"Aller H.D.,Aller M.F.,Latimer G.E.,Hodge P.E. 1985,ApJS 59,513."
31,=,1985ApJS...59..513A
32,--,"Allington-Smith J.R. 1982,MNRAS 199,611."
32,=,1982MNRAS.199..611A
33,--,"Allington-Smith J.R.,Lilly S.J.,Longair M.S. 1985,MNRAS 213,243."
33,=,1985MNRAS.213..243A
34,--,"Allington-Smith J.R.,Peacock J.A.,Dunlop J.S. 1991,MNRAS 253,287."
34,=,1991MNRAS.253..287A
35,--,"Allington-Smith J.R.,Perryman M.A.C.,Longair M.S.,Gunn J.E.,Westphal J.A. 1982,"
35,--,"MNRAS 201,331."
35,=,1982MNRAS.201..331A
36,--,"Allington-Smith J.R.,Spinrad H.,Djorgovski S.,Liebert J. 1988,MNRAS 234,1091."
36,=,1988MNRAS.234.1091A
37,--,"Alloin D.,Bica E.,Bonatto C.,Prugniel P. 1992,A&A 266,117."
37,=,1992A&A...266..117A
38,--,"Altschuler D.R. 1986,A&AS 65,267."
38,=,1986A&AS...65..267A
39,--,"Amirkhanian V.R.,Vlasyuk V.V.,Spiridonova O.I. 1993,Astronomy Reports 37,466."
39,=,1993ARep...37..466A
40,--,"Anderson S.F. 1985,'The X-ray properties of high redshift, optically"
40,--,"selected QSO'.PhD, University of Washington."
40,=,1985...............
41,--,"Anderson S.F.,Margon B. 1987,ApJ 314,111."
41,=,1987ApJ...314..111A
42,--,"Anderson S.F.,Margon B. 1987,Nat 327,125."
42,=,1987Natur.327..125A
43,--,"Anderson S.F.,Fan X.,Richards G.T. et al. 2001,AJ 122,503."
43,=,2001AJ....122..503A
44,--,"Andreani P.,La Franca F.,Cristiani S. 1993,MNRAS 261,L35."
44,=,1993MNRAS.261L..35A
45,--,"Andreasian N.,Alloin D. 1994,A&AS 107,23."
45,=,1994A&AS..107...23A
46,--,"Angonin-Willaime M.C.,Soucail G.,Vanderriest C. 1994,A&A 291,411."
46,=,1994A&A...291..411A
47,--,"Anguita A.C.,Pedreros M. 1977,AJ 82,102."
47,=,1977AJ.....82..102A
48,--,"Anguita A.C.,Campusano L.E.,Torres C.,Pedreros M. 1979,AJ 84,718."
48,=,1979AJ.....84..718A
49,--,"Anton K. 1993,A&A 270,60."
49,=,1993A&A...270...60A
50,--,"Antonucci R.R.J.,Barvainis R. 1988,ApJ 332,L13."
50,=,1988ApJ...332L..13A
51,--,"Antonucci R.R.J.,Miller J.S. 1985,ApJ 297,621."
51,=,1985ApJ...297..621A
52,--,"Antonucci R.R.J.,Hickson P.,Miller J.S.,Olszewski E.W. 1987,AJ 93,785."
52,=,1987AJ.....93..785A
53,--,"Antonucci R.R.J.,Hurt T.,Kinney A. 1994,Nat 371,313."
53,=,1994Natur.371..313A
54,--,"Apparao K.V.,Bignami G.F.,Maraschi L. et al. 1978,Nat 273,450."
54,=,1978Natur.273..450A
55,--,"Appenzeller I.,Thiering I.,Zickgraf F.-J. et al. 1998,ApJS 117,319."
55,=,1998ApJS..117..319A
56,--,"Appenzeller I.,Zickgraf F.-J.,Krautter J.,Voges W. 2000,A&A 364,443."
56,=,2000A&A...364..443A
57,--,"Aragon-Salamanca A.,O'Brien K.S. 1996,MNRAS 281,945."
57,=,1996MNRAS.281..945A
58,--,"Arakelian M.A. 1975,Publ. Byurakan Obs. 47,3."
58,=,1975SoByu..47....3A
59,--,"Arakelian M.A.,Dibai E.A.,Lyutyi B.M. 1972,Astrophysics 8,280."
59,=,1972Ap......8..280A
60,--,"Arakelian M.A.,Dibai E.A.,Esipov V.F.,Markarian B.E. 1971,Astrophysics 7,102."
60,=,1971Ap......7..102A
61,--,"Arakelian M.A.,Dibai E.A.,Esipov V.F. 1976,Astrophysics 12,122."
61,=,1976Ap.....12..122A
62,--,"Argue A.N.,Sullivan C. 1980,MNRAS 192,779."
62,=,1980MNRAS.192..779A
63,--,"Argue A.N.,Kenworthy C.M.,Stewart P.M. 1973,Astrophys. Letters 14,99."
63,=,1973ApL....14...99A
64,--,"Argue A.N.,Kenworthy C.M.,Ryle M.,Shakeshaft J.R. 1973,Nat PS 241,139."
64,=,1973Natur.241..139A
65,--,"Arkhipova V.P.,Esipov V.F. 1979,SvA Letters 5,90."
65,=,1979SvAL....5...90A
66,--,"Armus L.,Heckman T.M.,Miley G.K. 1989,ApJ 347,727."
66,=,1989ApJ...347..727A
67,--,"Armus L.,Heckman T.M.,Miley G.K. 1990,ApJ 364,471."
67,=,1990ApJ...364..471A
68,--,"Arnaud K.A.,Fabian A.C.,Hazard C.,Condon J.J.,Sargent W.L.W. 1984,"
68,--,'An optically selected sample of X-ray-quiet QSOs'.
68,=,1984...............
69,--,"Arnaud K.A.,Branduardi-Raymont G.,Culhane et al. 1985,MNRAS 217,105."
69,=,1985MNRAS.217..105A
70,--,"Arp H. 1966,ApJS 14,1."
70,=,1966ApJS...14....1A
71,--,"Arp H. 1968,ApJ 152,1101."
71,=,1968ApJ...152.1101A
72,--,"Arp H. 1976,ApJ 210,L59."
72,=,1976ApJ...210L..59A
73,--,"Arp H. 1977,Colloq. Int. N263 (Paris CNRS) p.377."
73,=,1977...............
74,--,"Arp H. 1977,ApJ 218,70."
74,=,1977ApJ...218...79A
75,--,"Arp H. 1980,ApJ 240,415."
75,=,1980ApJ...240..415A
76,--,"Arp H. 1980,ApJ 236,63."
76,=,1980ApJ...236...63A
77,--,"Arp H. 1980,Proc. 9th Texas Symp. (Ann. New-York Acad. Sci. 336,p.94)."
77,=,1980...............
78,--,"Arp H. 1981,ApJ 250,31."
78,=,1981ApJ...250...31A
79,--,"Arp H. 1981,ApJS 46,75."
79,=,1981ApJS...46...75A
80,--,"Arp H. 1983,ApJ 271,479."
80,=,1983ApJ...271..479A
81,--,"Arp H. 1984,ApJ 283,59."
81,=,1984ApJ...283...59A
82,--,"Arp H. 1984,ApJ 285,547."
82,=,1984ApJ...285..547A
83,--,"Arp H. 1987, Quasars, redshifts, and controversies, Interstellar media,"
83,--,"Berleley,p.44."
83,=,1987...............
84,--,"Arp H. 1995,A&A 296,L5."
84,=,1995A&A...296L...5A
85,--,"Arp H.,Duhalde D. 1985,PASP 97,1149."
85,=,1985PASP...97.1149A
86,--,"Arp H.,Gavazzi G. 1984,A&A 139,240."
86,=,1984A&A...139..240A
87,--,"Arp H.,Hazard C. 1980,ApJ 240,726."
87,=,1980ApJ...240..726A
88,--,"Arp H.,Khachikian E.E. 1975,Astrophysics 9,308."
88,=,1975Ap......9..308A
89,--,"Arp H.,Madore B.F. 1987,'A catalogue of southern peculiar galaxies and"
89,--,"associations', Cambridge University Press."
89,=,1Catalog.<VII/170>.
90,--,"Arp H.,Sulentic J.W. 1979,ApJ 229,496."
90,=,1979ApJ...229..496A
91,--,"Arp H.,Surdej J. 1982,A&A 109,101."
91,=,1982A&A...109..101A
92,--,"Arp H.,Visvanathan N. 1970,Astrophys. Letters 5,73."
92,=,1970ApL.....5...73A
93,--,"Arp H.,Bolton J.,Kinman T. 1967,ApJ 147,840."
93,=,1967ApJ...147..840A
94,--,"Arp H.,Baldwin J.A.,Wampler E.J. 1975,ApJ 198,L3."
94,=,1975ApJ...198L...3A
95,--,"Arp H.,Sulentic J.W.,Willis A.G.,de Ruiter H.R. 1976,ApJ 207,L13."
95,=,1976ApJ...207L..13A
96,--,"Arp H.,de Ruiter H.R.,Willis A.G. 1979,A&A 77,86."
96,=,1979A&A....77...86A
97,--,"Arp H.,Sargent W.L.W.,Willis A.G.,Oosterbaan C.E. 1979,ApJ 230,68."
97,=,1979ApJ...230...68A
98,--,"Arp H.,Sulentic J.W.,di Tullio G. 1979,ApJ 229,489."
98,=,1979ApJ...229..489A
99,--,"Arp H.,Surdej J.,Swings J.-P. 1984,A&A 138,179."
99,=,1984A&A...138..179A
100,--,"Arp H.,Wolstencroft R.D.,He X.T. 1984,ApJ 285,44."
100,=,1984ApJ...285...44A
101,--,"Arp H.C.,Burbidge E.M.,Chu Y. 2001,ApJ 553,L11."
101,=,2001ApJ...553L..11A
102,--,"Arribas,S.,Colina,L.,Borne,K.D. 2000,ApJ 545,228."
102,=,2000ApJ...545..228A
103,--,"Ashby M.,Houck J.R.,Hacking P.B. 1992,AJ 104,980."
103,=,1992AJ....104..980A
104,--,"Ashby M.,Houck J.R.,Matthews K. 1995,ApJ 447,545."
104,=,1995ApJ...447..545A
105,--,"Augarde R.,Chalabaev A.,Comte G.,Kunth D.,Maehara H. 1994,A&AS 104,259."
105,=,1994A&AS..104..259A
106,--,"Azzopardi M. 1985,The Messenger 39,12."
106,=,1985Msngr..39...12A
107,--,"Azzopardi M.,Lequeux J.,Maeder A. 1988,A&A 189,34."
107,=,1988A&A...189...34A
108,--,"Baade W.,Minkowski R. 1954,ApJ 119,206."
108,=,1954ApJ...119..206B
109,--,"Baade W.,Minkowski R. 1954,ApJ 119,215."
109,=,1954ApJ...119..215B
110,--,"Baan W.A.,Salzer J.J.,Le Winter R.D. 1998,ApJ 509,633."
110,=,1998ApJ...509..633B
111,--,"Baars J.W.M.,Genzel R.,Pauliny-Toth I.I.K.,Witzel A. 1977,A&A 61,9."
111,=,1977A&A....61....1B
112,--,"Bade N.,Fink H.H.,Engels D. 1994,A&A 286,381."
112,=,1994A&A...286..381B
113,--,"Bade N.,Fink H.H.,Engels D. et al. 1995,A&AS 110,469."
113,=,1995A&AS..110..469B
114,--,"Bade N.,Siebert J.,Lopez S.,Voges W.,Reimers D. 1997.A&A 317,L13."
114,=,1997A&A...317L..13B
