notRadio,Name,RAh,RAm,RAs,DE-,DEd,DEm,DEs,n_RAh,F6cm,r_F6cm,F11cm,r_F11cm,l_z,z,Sp,n_Vmag,Vmag,B-V,U-B,Mabs,FC,r_Vmag,r_z,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s
*,SDSS J00000+0037,0,0,2.3,--,0,37,39,O,--,2,--,--,--,0.248,S1,--,20.69,--,--,-20.3,--,--,2,23,57,28.5,--,0,20,57
*,SDSS J00000-0106,0,0,3.3,-,1,6,46,O,--,2,--,--,--,0.022,S1,--,19.58,--,--,-16.0,--,--,2,23,57,29.5,-,1,23,28
*,MS 23575-6352,0,0,8.0,-,63,35,36,--,--,--,--,--,--,0.136,S1,--,17.0,--,--,-22.6,1235,--,1960,23,57,33.5,-,63,52,18
*,RXS J00001+0523,0,0,11.7,--,5,23,17,O,--,--,--,--,--,0.04,S1n,--,16.4,--,--,-20.5,--,--,2337,23,57,38.0,--,5,6,35
*,SDSS J00002-0947,0,0,15.5,-,9,47,55,O,--,2,--,--,--,0.209,S1,--,19.67,--,--,-20.9,--,--,2,23,57,41.7,-,10,4,37
*,SDSS J00002-0013,0,0,16.1,-,0,13,58,O,--,2,--,--,--,0.11,S1,--,19.97,--,--,-19.2,--,--,2,23,57,42.3,-,0,30,40
*,SDSS J00002-0038,0,0,16.2,-,0,38,54,O,--,2,--,--,--,0.245,S1,--,20.71,--,--,-20.2,--,--,2,23,57,42.4,-,0,55,36
*,XMM J00003-2508,0,0,21.2,-,25,8,12,O,--,--,--,--,--,0.995,S1,R,20.9,--,--,-22.8,--,--,674,23,57,47.3,-,25,24,54
*,XMM J00004-2506,0,0,26.0,-,25,6,51,O,--,--,--,--,--,0.433,S1,R,20.3,--,--,-21.4,--,--,674,23,57,52.1,-,25,23,33
*,XMM J00004-2504,0,0,27.7,-,25,4,43,O,--,--,--,--,--,0.336,S1,R,19.1,--,--,-22.0,--,--,674,23,57,53.8,-,25,21,25
