SNR,RAh,RAm,RAs,DE-,DEd,DEm,MajDiam,---,MinDiam,u_MajDiam,type,l_S(1GHz),S(1GHz),u_S(1GHz),Sp-Index,u_Sp-Index,Names
G000.0+00.0,17,42,33,-,28,59,3.5,x,2.5,--,S,--,100.0,?,0.8,?,Sgr A East
G000.3+00.0,17,43,5,-,28,37,15.0,x,8.0,--,S,--,22.0,--,0.6,--,--
G000.9+00.1,17,44,12,-,28,8,8.0,x,--,--,C,--,18.0,?,--,v,--
G001.0-00.1,17,46,20,-,28,25,8.0,x,--,--,S,--,15.0,--,0.6,?,--
G001.4-00.1,17,46,30,-,27,45,10.0,x,--,--,S,--,2.0,?,--,?,--
G001.9+00.3,17,45,37,-,27,9,1.2,x,--,--,S,--,0.6,--,0.7,--,--
G003.7-00.2,17,52,20,-,25,50,11.0,x,14.0,--,S,--,2.3,--,0.65,--,--
G003.8+00.3,17,49,50,-,25,27,18.0,x,--,--,S?,--,4.0,?,--,?,--
G004.2-03.5,18,5,45,-,27,4,28.0,x,--,--,S,--,3.2,?,0.6,?,--
G004.5+06.8,17,27,42,-,21,27,3.0,x,--,--,S,--,19.0,--,0.64,--,"Kepler, SN1604, 3C358"
G005.2-02.6,18,4,25,-,25,45,18.0,x,--,--,S,--,2.6,?,0.6,?,--
G005.4-01.2,17,59,0,-,24,55,35.0,x,--,--,C?,--,35.0,?,0.2,?,Milne 56
G005.9+03.1,17,44,20,-,22,15,20.0,x,--,--,S,--,3.3,?,0.4,?,--
G006.1+01.2,17,51,55,-,23,5,30.0,x,26.0,--,F,--,4.0,?,0.3,?,--
G006.4-00.1,17,57,30,-,23,25,42.0,x,--,--,C,--,310.0,--,--,v,W28
G006.4+04.0,17,42,10,-,21,20,31.0,x,--,--,S,--,1.3,?,0.4,?,--
G007.7-03.7,18,14,20,-,24,5,22.0,x,--,--,S,--,11.0,--,0.32,--,1814-24
G008.7-05.0,18,21,5,-,23,50,26.0,x,--,--,S,--,4.4,--,0.3,--,--
G008.7-00.1,18,2,35,-,21,25,45.0,x,--,--,S?,--,80.0,--,0.5,--,(W30)
G009.8+00.6,18,2,10,-,20,14,12.0,x,--,--,S,--,3.9,--,0.5,--,--
G010.0-00.3,18,5,40,-,20,26,8.0,x,--,?,?,--,2.9,--,0.8,--,--
G011.2-00.3,18,8,30,-,19,26,4.0,x,--,--,C,--,22.0,--,0.49,--,--
G011.4-00.1,18,7,50,-,19,6,8.0,x,--,--,S?,--,6.0,--,0.5,--,--
G012.0-00.1,18,9,15,-,18,38,7.0,x,--,?,?,--,3.5,--,0.7,--,--
G013.3-01.3,18,16,30,-,18,1,70.0,x,40.0,--,S?,--,--,?,--,?,--
G013.5+00.2,18,11,20,-,17,13,5.0,x,4.0,--,S,--,3.5,?,1.0,?,--
G015.1-01.6,18,21,5,-,16,36,30.0,x,24.0,--,S,--,5.5,?,0.8,?,--
G015.9+00.2,18,16,0,-,15,3,7.0,x,5.0,--,S?,--,5.0,--,0.6,?,--
G016.7+00.1,18,18,5,-,14,21,4.0,x,--,--,C,--,3.0,--,0.6,--,--
G016.8-01.1,18,22,30,-,14,48,30.0,x,24.0,?,?,--,2.0,?,--,?,--
G017.4-02.3,18,28,5,-,14,54,24.0,x,--,?,S,--,4.8,?,0.8,?,--
G017.8-02.6,18,30,0,-,14,41,24.0,x,--,--,S,--,4.0,?,0.3,?,--
G018.8+00.3,18,21,10,-,12,25,17.0,x,11.0,--,S,--,33.0,--,0.4,--,Kes 67
G018.9-01.1,18,27,0,-,13,0,33.0,x,--,--,C?,--,37.0,--,--,v,--
G020.0-00.2,18,25,20,-,11,37,10.0,x,--,--,F,--,10.0,--,0.0,--,--
G021.5-00.9,18,30,47,-,10,37,1.2,x,--,--,F,--,6.0,--,0.0,--,--
