SNR,RAh,RAm,RAs,DE-,DEd,DEm,MajDiam,---,MinDiam,u_MinDiam,type,l_S(1GHz),S(1GHz),u_S(1GHz),Sp-Index,u_Sp-Index,Names
G000.0+00.0,17,45,44,-,29,0,3.5,x,2.5,--,S,--,100.0,?,0.8,?,Sgr A East
G000.3+00.0,17,46,15,-,28,38,15.0,x,8.0,--,S,--,22.0,--,0.6,--,--
G000.9+00.1,17,47,21,-,28,9,8.0,--,--,--,C,--,18.0,?,--,v,--
G001.0-00.1,17,48,30,-,28,9,8.0,--,--,--,S,--,15.0,--,0.6,?,--
G001.4-00.1,17,49,39,-,27,46,10.0,--,--,--,S,--,2.0,?,--,?,--
G001.9+00.3,17,48,45,-,27,10,1.5,--,--,--,S,--,0.6,--,0.6,--,--
G003.7-00.2,17,55,26,-,25,50,14.0,x,11.0,--,S,--,2.3,--,0.65,--,--
G003.8+00.3,17,52,55,-,25,28,18.0,--,--,--,S?,--,3.0,?,0.6,--,--
G004.2-03.5,18,8,55,-,27,3,28.0,--,--,--,S,--,3.2,?,0.6,?,--
G004.5+06.8,17,30,42,-,21,29,3.0,--,--,--,S,--,19.0,--,0.64,--,"Kepler, SN1604, 3C358"
G004.8+06.2,17,33,25,-,21,34,18.0,--,--,--,S,--,3.0,--,0.6,--,--
G005.2-02.6,18,7,30,-,25,45,18.0,--,--,--,S,--,2.6,?,0.6,?,--
G005.4-01.2,18,2,10,-,24,54,35.0,--,--,--,C?,--,35.0,?,0.2,?,Milne 56
G005.5+00.3,17,57,4,-,24,0,15.0,x,12.0,--,S,--,5.5,--,0.7,--,--
G005.9+03.1,17,47,20,-,22,16,20.0,--,--,--,S,--,3.3,?,0.4,?,--
G006.1+00.5,17,57,29,-,23,25,18.0,x,12.0,--,S,--,4.5,--,0.9,--,--
G006.1+01.2,17,54,55,-,23,5,30.0,x,26.0,--,F,--,4.0,?,0.3,?,--
G006.4-00.1,18,0,30,-,23,26,48.0,--,--,--,C,--,310.0,--,--,v,W28
G006.4+04.0,17,45,10,-,21,22,31.0,--,--,--,S,--,1.3,?,0.4,?,--
G006.5-00.4,18,2,11,-,23,34,18.0,--,--,--,S,--,27.0,--,0.6,--,--
G007.0-00.1,18,1,50,-,22,54,15.0,--,--,--,S,--,2.5,?,0.5,?,--
G007.2+00.2,18,1,7,-,22,38,12.0,--,--,--,S,--,2.8,--,0.6,--,--
G007.7-03.7,18,17,25,-,24,4,22.0,--,--,--,S,--,11.0,--,0.32,--,1814-24
G008.3-00.0,18,4,34,-,21,49,5.0,x,4.0,--,S,--,1.2,--,0.6,--,--
G008.7-05.0,18,24,10,-,23,48,26.0,--,--,--,S,--,4.4,--,0.3,--,--
G008.7-00.1,18,5,30,-,21,26,45.0,--,--,--,S?,--,80.0,--,0.5,--,(W30)
G008.9+00.4,18,3,58,-,21,3,24.0,--,--,--,S,--,9.0,--,0.6,--,--
G009.7-00.0,18,7,22,-,20,35,15.0,x,11.0,--,S,--,3.7,--,0.6,--,--
G009.8+00.6,18,5,8,-,20,14,12.0,--,--,--,S,--,3.9,--,0.5,--,--
G009.9-00.8,18,10,41,-,20,43,12.0,--,--,--,S,--,6.7,--,0.4,--,--
G010.5-00.0,18,9,8,-,19,47,6.0,--,--,--,S,--,0.9,--,0.6,--,--
G011.0-00.0,18,10,4,-,19,25,11.0,x,9.0,--,S,--,1.3,--,0.6,--,--
G011.1-01.0,18,14,3,-,19,46,18.0,x,12.0,--,S,--,5.8,--,0.5,--,--
G011.1-00.7,18,12,46,-,19,38,11.0,x,7.0,--,S,--,1.0,--,0.7,--,--
G011.1+00.1,18,9,47,-,19,12,12.0,x,10.0,--,S,--,2.3,--,0.4,--,--
G011.2-00.3,18,11,27,-,19,25,4.0,--,--,--,C,--,22.0,--,0.5,--,--
G011.4-00.1,18,10,47,-,19,5,8.0,--,--,--,S?,--,6.0,--,0.5,--,--
G011.8-00.2,18,12,25,-,18,44,4.0,--,--,--,S,--,0.7,--,0.3,--,--
G012.0-00.1,18,12,11,-,18,37,7.0,--,--,?,?,--,3.5,--,0.7,--,--
G012.2+00.3,18,11,17,-,18,10,6.0,x,5.0,--,S,--,0.8,--,0.7,--,--
G012.5+00.2,18,12,14,-,17,55,6.0,x,5.0,--,C?,--,0.6,--,0.4,--,--
G012.7-00.0,18,13,19,-,17,54,6.0,--,--,--,S,--,0.8,--,0.8,--,--
G012.8-00.0,18,13,37,-,17,49,3.0,--,--,--,C?,--,0.8,--,0.5,--,--
G013.3-01.3,18,19,20,-,18,0,70.0,x,40.0,--,S?,--,--,?,--,?,--
G013.5+00.2,18,14,14,-,17,12,5.0,x,4.0,--,S,--,3.5,?,1.0,?,--
G014.1-00.1,18,16,40,-,16,41,6.0,x,5.0,--,S,--,0.5,--,0.6,--,--
G014.3+00.1,18,15,58,-,16,27,5.0,x,4.0,--,S,--,0.6,--,0.4,--,--
G015.1-01.6,18,24,0,-,16,34,30.0,x,24.0,--,S?,--,5.5,?,0.0,?,--
G015.4+00.1,18,18,2,-,15,27,15.0,x,14.0,--,C?,--,5.6,--,0.62,--,--
G015.9+00.2,18,18,52,-,15,2,7.0,x,5.0,--,S?,--,5.0,--,0.63,--,--
G016.0-00.5,18,21,56,-,15,14,15.0,x,10.0,--,S,--,2.7,--,0.6,--,--
G016.2-02.7,18,29,40,-,16,8,17.0,--,--,--,S,--,2.5,--,0.4,--,--
G016.4-00.5,18,22,38,-,14,55,13.0,--,--,--,S,--,4.6,--,0.3,?,--
G016.7+00.1,18,20,56,-,14,20,4.0,--,--,--,C,--,3.0,--,0.6,--,--
G017.0-00.0,18,21,57,-,14,8,5.0,--,--,--,S,--,0.5,--,0.5,--,--
G017.4-02.3,18,30,55,-,14,52,24.0,--,--,?,S,--,5.0,--,0.5,?,--
G017.4-00.1,18,23,8,-,13,46,6.0,--,--,--,S,--,0.4,--,0.7,--,--
G017.8-02.6,18,32,50,-,14,39,24.0,--,--,--,S,--,5.0,--,0.5,--,--
G018.1-00.1,18,24,34,-,13,11,8.0,--,--,--,S,--,4.6,--,0.5,--,--
G018.6-00.2,18,25,55,-,12,50,6.0,--,--,--,S,--,1.4,--,0.4,--,--
G018.8+00.3,18,23,58,-,12,23,17.0,x,11.0,--,S,--,33.0,--,0.46,--,Kes 67
G018.9-01.1,18,29,50,-,12,58,33.0,--,--,--,C?,--,37.0,--,0.39,--,--
G019.1+00.2,18,24,56,-,12,7,27.0,--,--,--,S,--,10.0,--,0.5,--,--
G020.0-00.2,18,28,7,-,11,35,10.0,--,--,--,F,--,10.0,--,0.1,--,--
G020.4+00.1,18,27,51,-,11,0,8.0,--,--,--,S?,--,9.0,?,0.1,?,--
G021.0-00.4,18,31,12,-,10,47,9.0,x,7.0,--,S,--,1.1,--,0.6,--,--
G021.5-00.9,18,33,33,-,10,35,5.0,--,--,--,C,--,7.0,--,--,v,--
G021.5-00.1,18,30,50,-,10,9,5.0,--,--,--,S,--,0.4,--,0.5,--,--
G021.6-00.8,18,33,40,-,10,25,13.0,--,--,--,S,--,1.4,--,0.5,?,--
G021.8-00.6,18,32,45,-,10,8,20.0,--,--,--,S,--,65.0,--,0.56,--,Kes 69
G022.7-00.2,18,33,15,-,9,13,26.0,--,--,--,S?,--,33.0,--,0.6,--,--
G023.3-00.3,18,34,45,-,8,48,27.0,--,--,--,S,--,70.0,--,0.5,--,W41
G023.6+00.3,18,33,3,-,8,13,10.0,--,--,?,?,--,8.0,?,0.3,--,--
G024.7-00.6,18,38,43,-,7,32,15.0,--,--,?,S?,--,8.0,--,0.5,--,--
G024.7+00.6,18,34,10,-,7,5,30.0,x,15.0,--,C?,--,20.0,?,0.2,?,--
G025.1-02.3,18,45,10,-,8,0,80.0,x,30.0,?,S,--,8.0,--,0.5,?,--
G027.4+00.0,18,41,19,-,4,56,4.0,--,--,--,S,--,6.0,--,0.68,--,4C-04.71
G027.8+00.6,18,39,50,-,4,24,50.0,x,30.0,--,F,--,30.0,--,--,v,--
